Food.Contaminated.Ingredient,plantIngredientPresent,uncertainIngredients,plantTaxa,FDC link/Notes
alcohol,TRUE,TRUE,,
alfalfa sprout seeds,TRUE,FALSE,Medicago sativa,
alfalfa sprouts,TRUE,FALSE,Medicago sativa,
"american cheese, pasteurized",FALSE,,,
apple,TRUE,FALSE,Malus domestica,
"apple cider, unpasteurized",TRUE,FALSE,Malus domestica,
"apple juice, pasteurized",TRUE,FALSE,Malus domestica,
arugula,TRUE,FALSE,Eruca vesicaria,
asparagus,TRUE,FALSE,Asparagus officinalis,
avocado,TRUE,FALSE,Persea americana,
banana,TRUE,FALSE,Musa acuminata; Musa balbisiana,
basil,TRUE,FALSE,Ocimum basilicum,
bean sprouts,TRUE,FALSE,Vigna radiata; Glycine max,
beans,TRUE,TRUE,,
bear,FALSE,,,
beef,FALSE,,,
"beef, brisket",FALSE,,,
"beef, jerky",FALSE,,,
"beef, other",FALSE,,,
"beef, raw",FALSE,,,
beets,TRUE,FALSE,Beta vulgaris,
berries,TRUE,TRUE,,
black beans,TRUE,FALSE,Phaseolus vulgaris,
blackberries,TRUE,FALSE,Rubus plicatus,
blueberries,TRUE,FALSE,Vaccinium corymbosum; Vaccinium angustifolium; Vaccinium virgatum; Vaccinium darrowii,
boar,FALSE,,,
bread,TRUE,TRUE,Triticum aestivum; Hordeum vulgare; Zea mays; Glycine max,https://fdc.nal.usda.gov/food-details/2659726/nutrients
"bread, baguette",TRUE,TRUE,Triticum aestivum; Hordeum vulgare,https://fdc.nal.usda.gov/food-details/2638319/nutrients
"bread, sourdough",TRUE,TRUE,Triticum aestivum; Hordeum vulgare,https://fdc.nal.usda.gov/food-details/2602014/nutrients
"bread, wheat",TRUE,TRUE,Triticum aestivum; Hordeum vulgare; Zea mays; Glycine max,https://fdc.nal.usda.gov/food-details/2659727/nutrients
"bread, white",TRUE,TRUE,Triticum aestivum; Hordeum vulgare; Zea mays; Glycine max,https://fdc.nal.usda.gov/food-details/2659726/nutrients
broccoli,TRUE,FALSE,Brassica oleracea,
broccoli salad,TRUE,TRUE,,
buffet,TRUE,TRUE,,
butter,FALSE,,,
cabbage,TRUE,FALSE,Brassica oleracea,
cantaloupe,TRUE,FALSE,Cucumis melo,
carne asada,FALSE,FALSE,,
carnitas,FALSE,FALSE,,
carrots,TRUE,FALSE,Daucus carota,
cashews,TRUE,FALSE,Anacardium occidentale,
celery,TRUE,FALSE,Apium graveolens,
cereal,TRUE,TRUE,,
cheddar cheese,FALSE,,,
"cheddar cheese, pasteurized",FALSE,,,
"cheddar cheese, unpasteurized",FALSE,,,
cheese,FALSE,,,
"cheese, pasteurized",FALSE,,,
"cheese, unpasteurized",FALSE,,,
"cheese, unspecified",FALSE,,,
cherry tomato,TRUE,FALSE,Solanum lycopersicum,
chick peas,TRUE,FALSE,Cicer arietinum,
chicken,FALSE,,,
chili sauce,TRUE,FALSE,Solanum lycopersicum; Allium cepa,https://fdc.nal.usda.gov/food-details/1962945/nutrients
chips,TRUE,TRUE,,
cilantro,TRUE,FALSE,Coriandrum sativum,
clams,FALSE,,,
"clams, raw",FALSE,,,
clover seeds,TRUE,FALSE,Trifolium pratense,
clover sprouts,TRUE,FALSE,Trifolium pratense,
coconut,TRUE,FALSE,Cocos nucifera,
coffee,TRUE,FALSE,Coffea arabica; Coffea canephora,
collard greens,TRUE,FALSE,Brassica oleracea,
conch,FALSE,,,
coppa,FALSE,,,
corn,TRUE,FALSE,Zea mays,
corned beef,FALSE,,,
crab,FALSE,,,
"crab, imitation",FALSE,,,
crawfish/crayfish,FALSE,,,
cream,FALSE,,,
cream cheese,FALSE,,,
cream filling,FALSE,,,
cream sauce,FALSE,,,
crustacean,FALSE,,,
cucumber,TRUE,FALSE,Cucumis sativus,
"deli meat, sliced ham",FALSE,,,
"deli meat, sliced roast beef",FALSE,,,
"deli meat, sliced salami",FALSE,,,
"deli meat, sliced turkey",FALSE,,,
dressing mix,TRUE,TRUE,,
drink mixes,FALSE,,,
dry cereal,TRUE,TRUE,,
duck,FALSE,,,
"duck, liver",FALSE,,,
"duck, other",FALSE,,,
eel,FALSE,,,
egg,FALSE,,,
eggplant,TRUE,FALSE,Solanum melongena,
fennel,TRUE,FALSE,Foeniculum vulgare,
fiddle head fern,TRUE,FALSE,Matteuccia struthiopteris,
fin fish,FALSE,,,
fish,FALSE,,,
"fish, ahi",FALSE,,,
"fish, albacore",FALSE,,,
"fish, amberjack",FALSE,,,
"fish, baracuda",FALSE,,,
"fish, buffalo",FALSE,,,
"fish, codfish",FALSE,,,
"fish, grouper",FALSE,,,
"fish, hogfish",FALSE,,,
"fish, jack",FALSE,,,
"fish, kingfish",FALSE,,,
"fish, mackeral",FALSE,,,
"fish, mahi mahi",FALSE,,,
"fish, puffer unspecified",FALSE,,,
"fish, reef unspecified",FALSE,,,
"fish, salmon",FALSE,,,
"fish, seabass",FALSE,,,
"fish, snapper",FALSE,,,
"fish, tilapia",FALSE,,,
"fish, tuna",FALSE,,,
"fish, wahoo",FALSE,,,
"fish,other",FALSE,,,
flour,TRUE,FALSE,Triticum aestivum,
frog legs,FALSE,,,
"frosting, cream cheese",FALSE,,,
frosting/icing,FALSE,,,
"fruit, unspecified",TRUE,TRUE,,
fungus,FALSE,,,
garlic,TRUE,FALSE,Allium sativum,
goat,FALSE,,,
"goat milk, unpasteurized",FALSE,,,
grains,TRUE,TRUE,,
grapes,TRUE,FALSE,Vitis vinifera,
"gravy mix, turkey",TRUE,FALSE,Zea mays; Triticum aestivum; Allium cepa; Glycine max; Gossypium hirsutum; Allium sativum,https://fdc.nal.usda.gov/food-details/2018355/nutrients
"gravy, beef",TRUE,FALSE,Zea mays; Triticum aestivum; Glycine max; Gossypium hirsutum; Allium cepa ,https://fdc.nal.usda.gov/food-details/2024275/nutrients
"gravy, chicken",TRUE,FALSE,Zea mays; Triticum aestivum; Glycine max; Brassica napus; Allium cepa ,https://fdc.nal.usda.gov/food-details/2289535/nutrients
"gravy, sausage",TRUE,FALSE,Glycine max; Zea mays; Triticum aestivum,https://fdc.nal.usda.gov/food-details/2021252/nutrients
green beans,TRUE,FALSE,Phaseolus vulgaris,
green leaf lettuce,TRUE,FALSE,Lactuca sativa,
green onion/scallion,TRUE,FALSE,Allium fistulosum; Allium cepa; Allium chinense,
ground beef,FALSE,,,
"ground beef, sausage",FALSE,,,
ground turkey,FALSE,,,
guacamole,TRUE,FALSE,Persea americana; Solanum lycopersicum; Allium cepa; Citrus limon,https://fdc.nal.usda.gov/food-details/2709308/sources
guinea pig,FALSE,,,
ham,FALSE,,,
honeydew melon,TRUE,FALSE,Cucumis melo,
hot sauce,TRUE,FALSE,Capsicum annuum,https://fdc.nal.usda.gov/food-details/2617490/nutrients
ice,FALSE,,,
ice cream,FALSE,,,
iceberg lettuce,TRUE,FALSE,Lactuca sativa,
infant formula,TRUE,FALSE,Elaeis guineensis; Cocos nucifera; Glycine max; Helianthus annuus,https://fdc.nal.usda.gov/food-details/2114767/nutrients
juice,TRUE,TRUE,,
kale,TRUE,FALSE,Brassica oleracea,
kidney bean,TRUE,FALSE,Phaseolus vulgaris,
lamb,FALSE,,,
leaf lettuce,TRUE,FALSE,Lactuca sativa,
leafy green,TRUE,TRUE,,
legume,TRUE,TRUE,,
lemon,TRUE,FALSE,Citrus limon,
lettuce,TRUE,FALSE,Lactuca sativa,
lime,TRUE,FALSE,Citrus hystrix; Citrus aurantiifolia; Citrus x latifolia,
"liver, beef",FALSE,,,
"liver, chicken",FALSE,,,
"liver, goose",FALSE,,,
lobster,FALSE,,,
mamey fruit,TRUE,FALSE,Pouteria sapota,
mango,TRUE,FALSE,Mangifera indica,
masa (corn flour dough),TRUE,FALSE,Zea mays,
mayonnaise,TRUE,FALSE,Glycine max; Citrus limon,https://fdc.nal.usda.gov/food-details/2552852/nutrients
meat,FALSE,,,
melon,TRUE,FALSE,Cucumis melo,
mesclun mix,TRUE,TRUE,,
mexican style cheese,FALSE,,,
milk,FALSE,,,
"milk, 1% milk pasteurized",FALSE,,,
"milk, 2% milk pasteurized",FALSE,,,
"milk, unpasteurized",FALSE,,,
"milk, whole milk pasteurized",FALSE,,,
"milk, whole milk unpasteurized",FALSE,,,
moringa leaf powder,TRUE,FALSE,Moringa oleifera,
mozarella,FALSE,,,
"mozarella, pasteurized",FALSE,,,
"multiple cheeses, unpasteurize",FALSE,,,
mushrooms,FALSE,,,
mussels,FALSE,,,
"mussels, raw",FALSE,,,
noodle or pasta,TRUE,FALSE,Triticum aestivum,https://fdc.nal.usda.gov/food-details/2432724/nutrients
nuts,TRUE,TRUE,,
"nuts, almonds",TRUE,FALSE,Prunus dulcis,
octopus,FALSE,,,
oil,TRUE,FALSE,Glycine max; Helianthus annuus; Elaeis guineensis; Brassica napus,Top 4 plant oils used for food use: https://apps.fas.usda.gov/psdonline/circulars/oilseeds.pdf
olives,TRUE,FALSE,Olea europaea,
"olives, black",TRUE,FALSE,Olea europaea,
"olives, green",TRUE,FALSE,Olea europaea,
onion,TRUE,FALSE,Allium cepa,
orange,TRUE,FALSE,Citrus sinensis,
oregano,TRUE,FALSE,Origanum vulgare,
other baked goods,TRUE,TRUE,,
other cheese,FALSE,,,
"other cheese, unpasteurized",FALSE,,,
oysters,FALSE,,,
"oysters, raw",FALSE,,,
papaya,TRUE,FALSE,Carica papaya,
parmesan cheese,FALSE,,,
parsley,TRUE,FALSE,Petroselinum crispum,
pasta,TRUE,FALSE,Triticum aestivum,https://fdc.nal.usda.gov/food-details/2432724/nutrients
"pate, chicken liver",FALSE,,,
peaches,TRUE,FALSE,Prunus persica,
peas,TRUE,FALSE,Pisum sativum,
"pepper, chili",TRUE,FALSE,Capsicum annuum,
"pepper, ground",TRUE,FALSE,Piper nigrum,
pepperroni,FALSE,FALSE,,
peppers,TRUE,FALSE,Capsicum annuum,
"peppers, green",TRUE,FALSE,Capsicum annuum,
"peppers, jalapeno",TRUE,FALSE,Capsicum annuum,
"peppers, red",TRUE,FALSE,Capsicum annuum,
"peppers, yellow",TRUE,FALSE,Capsicum annuum,
pickles,TRUE,FALSE,Cucumis sativus,
pineapple,TRUE,FALSE,Ananas comosus,
pineapple juice,TRUE,FALSE,Ananas comosus,
pinto beans,TRUE,FALSE,Phaseolus vulgaris,
pistachios,TRUE,FALSE,Pistacia vera,
pork,FALSE,,,
"pork, bacon",FALSE,,,
"pork, chops",FALSE,,,
"pork, other",FALSE,,,
"pork, pepperoni",FALSE,,,
potato,TRUE,FALSE,Solanum tuberosum,
potatoes,TRUE,FALSE,Solanum tuberosum,
"potatoes, mashed",TRUE,FALSE,Solanum tuberosum,
poultry,FALSE,,,
prosciutto,FALSE,,,
provolone,FALSE,,,
queso fresco,FALSE,,,
"queso fresco, unpasteurized",FALSE,,,
radicchio,TRUE,FALSE,Cichorium intybus,
radish,TRUE,FALSE,Raphanus sativus,
raspberries,TRUE,FALSE,Rubus idaeus; Rubus occidentalis,
raw milk,FALSE,,,
red snapper,FALSE,,,
"ribs, beef",FALSE,,,
rice,TRUE,FALSE,Oryza sativa,
"rice, brown",TRUE,FALSE,Oryza sativa,
"rice, long grain",TRUE,FALSE,Oryza sativa,
"rice, white",TRUE,FALSE,Oryza sativa,
"rice, yellow",TRUE,FALSE,Oryza sativa,
roast beef,FALSE,,,
romaine lettuce,TRUE,FALSE,Lactuca sativa,
root (eg. potato),TRUE,TRUE,,
salad,TRUE,TRUE,,
"salami, beef",FALSE,,,
"salami, pork",FALSE,,,
salmon heads,FALSE,,,
salsa,TRUE,FALSE,Solanum lycopersicum; Allium cepa; Capsicum annuum; Coriandrum sativum; Allium sativum; Citrus aurantiifolia; Apium graveolens; Helianthus annuus,https://fdc.nal.usda.gov/food-details/2114266/nutrients
salt,FALSE,FALSE,,
sauces/ dressings,TRUE,TRUE,,
"sausage, pork",FALSE,,,
scallops,FALSE,,,
seafood,FALSE,,,
"seal, oil",FALSE,,,
seaweed,TRUE,TRUE,,
shellfish,FALSE,,,
shrimp,FALSE,,,
"skim milk, pasteurized",FALSE,,,
soft drinks,FALSE,,,
soppressata,FALSE,,,
sour cream,FALSE,,,
soy beans,TRUE,FALSE,Glycine max,
spices,TRUE,TRUE,,
spinach,TRUE,FALSE,Spinacia oleracea,
sprouts,TRUE,FALSE,Vigna radiata,https://fdc.nal.usda.gov/food-details/2709764/sources
"squash, yellow",TRUE,FALSE,Cucurbita pepo,
squid/calamari,FALSE,,,
steak,FALSE,,,
"steak, beef tips",FALSE,,,
"steak, sirloin",FALSE,,,
strawberries,TRUE,FALSE,Fragaria x ananassa,
stuffing,TRUE,TRUE,,
"sugar, unspecified",FALSE,,,
"sugar, white",FALSE,,,
sushi rice,TRUE,FALSE,Oryza sativa,
sweet potato,TRUE,FALSE,Ipomoea batatas,
swiss cheese,FALSE,,,
tahini,TRUE,FALSE,Sesamum indicum,
tofu,TRUE,FALSE,Glycine max,
tomato,TRUE,FALSE,Solanum lycopersicum,
"tomatoes, cherry",TRUE,FALSE,Solanum lycopersicum,
"tomatoes, red round",TRUE,FALSE,Solanum lycopersicum,
"tomatoes, roma",TRUE,FALSE,Solanum lycopersicum,
tuna,FALSE,,,
tuna steak,FALSE,,,
turkey,FALSE,,,
unspecified beverage,FALSE,,,
unspecified grains,TRUE,TRUE,,
"vegetables, unspecified",TRUE,TRUE,,
venison,FALSE,,,
vidalia onion,TRUE,FALSE,Allium cepa,
vine-stalk eg. tomato,TRUE,FALSE,Solanum lycopersicum,
vinegar,FALSE,FALSE,,
walrus,FALSE,,,
water,FALSE,,,
water based (eg. drink mix),FALSE,,,
watermelon,TRUE,FALSE,Citrullus lanatus,
wraps/tortillas,TRUE,TRUE,,
yellow onion,TRUE,FALSE,Allium cepa,
yellowfin tuna,FALSE,,,
yellowtail tuna,FALSE,,,
yogurt,FALSE,,,
zucchini,TRUE,FALSE,Cucurbita pepo,