Taxa,Classification
Abelmoschus esculentus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Acacia aneura,Food products n.e.c. (Class)
Acacia cyclops,Food products n.e.c. (Class)
Acacia murrayana,Food products n.e.c. (Class)
Acca sellowiana,Fruit
Acer saccharum,"Sugar, jam, honey, chocolate and confectionery"
Acer saccharum subsp. leucoderme,"Sugar, jam, honey, chocolate and confectionery"
Acer saccharum subsp. nigrum,"Sugar, jam, honey, chocolate and confectionery"
Achillea millefolium,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium subsp. ceretanica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium subsp. sudetica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. alpicola,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. arenicola,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. borealis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. californica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. gigantea,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. lanulosa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. litoralis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. millefolium,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. pacifica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. puberula,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Acrocomia aculeata,Oils and fats
Actinidia chinensis,Fruit
Actinidia deliciosa,Fruit
Adansonia digitata,Fruit
Adansonia gregorii,Fruit
Adonidia merrillii,Fruit
Aegle marmelos,Fruit
Agastache foeniculum,Food products n.e.c. (Class)
Agave americana,Food products n.e.c. (Class)
Agave sisalana,Food products n.e.c. (Class)
Ageratum conyzoides,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium ampeloprasum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium ampeloprasum subsp. ampeloprasum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium ampeloprasum var. babingtonii,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium cepa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium chinense,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium fistulosum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium sativum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium schoenoprasum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium tuberosum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Alocasia macrorrhizos,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Alpinia galanga,Food products n.e.c. (Class)
Alpinia officinarum,Food products n.e.c. (Class)
Amalocalyx microlobus,Fruit
Amelanchier alnifolia,Fruit
Amorphophallus konjac,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Amorphophallus paeoniifolius,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Amorphophallus paeoniifolius var. bangkokensis,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Amorphophallus paeoniifolius var. campanulatus,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Anacardium occidentale,"Frozen, preserved or processed fruit and fruit-based products"
Ananas comosus,Fruit
Ananas comosus var. bracteatus,Fruit
Ananas comosus var. microstachys,Fruit
Ananas comosus var. parguazensis,Fruit
Anethum foeniculum,Food products n.e.c. (Class)
Anethum graveolens,Food products n.e.c. (Class)
Angelica archangelica,Food products n.e.c. (Class)
Annona cherimola,Fruit
Annona glabra,Fruit
Annona mucosa,Fruit
Annona muricata,Fruit
Annona reticulata,Fruit
Annona squamosa,Fruit
Anthemis arvensis,Food products n.e.c. (Class)
Antidesma bunius,Fruit
Antirrhinum majus,Food products n.e.c. (Class)
Apium graveolens,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Arachis hypogaea,"Frozen, preserved or processed fruit and fruit-based products; Oils and fats"
Arbutus unedo,Fruit
Arctium lappa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Areca catechu,"Frozen, preserved or processed fruit and fruit-based products"
Arenga pinnata,"Oils and fats; Sugar, jam, honey, chocolate and confectionery"
Argania spinosa,Oils and fats
Armoracia rusticana,Food products n.e.c. (Class)
Aronia melanocarpa,Fruit
Arracacia xanthorrhiza,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Artemisia absinthium,Food products n.e.c. (Class)
Artemisia dracunculus,Food products n.e.c. (Class)
Artemisia vulgaris,Food products n.e.c. (Class)
Arthrospira platensis,Food products n.e.c. (Class)
Artocarpus altilis,Fruit
Artocarpus anisophyllus,Fruit
Artocarpus anisophyllus subsp. anisophyllus,Fruit
Artocarpus anisophyllus var. sessilifolius,Fruit
Artocarpus camansi,Fruit
Artocarpus dadah,Fruit
Artocarpus glaucus,Fruit
Artocarpus heterophyllus,Fruit
Artocarpus hypargyreus,Fruit
Artocarpus integer,Fruit
Artocarpus lacucha,Fruit
Artocarpus odoratissimus,Fruit
Artocarpus rigidus,Fruit
Artocarpus sericicarpus,Fruit
Artocarpus tamaran,Fruit
Asimina triloba,Fruit
Aspalathus linearis,"Coffee, tea and cocoa (Class)"
Asparagus cochinchinensis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Asparagus officinalis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Atriplex hortensis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Avena sativa,"Other cereals, flour and other cereal products"
Averrhoa bilimbi,Fruit
Averrhoa carambola,Fruit
Averrhoa dolichocarpa,Fruit
Averrhoa leucopetala,Fruit
Azadirachta indica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Backhousia citriodora,Food products n.e.c. (Class)
Bactris gasipaes,Fruit
Bactris gasipaes var. chichagui,Fruit
Bactris gasipaes var. gasipaes,Fruit
Bambusa vulgaris,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Basella alba,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Bauhinia purpurea,Food products n.e.c. (Class)
Bauhinia variegata,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Bellis perennis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Benincasa hispida,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Bertholletia excelsa,"Frozen, preserved or processed fruit and fruit-based products"
Beta vulgaris,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Beta vulgaris subsp. adanensis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Beta vulgaris subsp. maritima,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Beta vulgaris subsp. vulgaris,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Bixa orellana,Food products n.e.c. (Class)
Blighia sapida,Fruit
Boesenbergia rotunda,Food products n.e.c. (Class)
Borassus flabellifer,"Oils and fats; Sugar, jam, honey, chocolate and confectionery"
Bouea macrophylla,Fruit
Bouea oppositifolia,Fruit
Brassica juncea var. juncea,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica napus,Oils and fats
Brassica nigra,Food products n.e.c. (Class)
Brassica oleracea,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica oleracea var. alboglabra,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica oleracea var. capitata,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica oleracea var. gemmifera,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica oleracea var. gongylodes,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica oleracea var. italica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica rapa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica rapa subsp. chinensis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica rapa subsp. oleifera,Oils and fats
Brassica rapa subsp. pekinensis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica rapa subsp. rapa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Brassica rapa x Raphanus sativus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Byrsonima crassifolia,Fruit
Caesalpinia pulcherrima,"Frozen, preserved or processed fruit and fruit-based products"
Cajanus cajan,"Frozen, preserved or processed vegetables and vegetable-based products"
Camellia japonica,"Coffee, tea and cocoa (Class)"
Camellia japonica subsp. rusticana,"Coffee, tea and cocoa (Class)"
Camellia sinensis,"Coffee, tea and cocoa (Class)"
Camellia sinensis var. assamica,"Coffee, tea and cocoa (Class)"
Camellia sinensis var. pubilimba,"Coffee, tea and cocoa (Class)"
Canarium decumanum,"Frozen, preserved or processed fruit and fruit-based products"
Canarium indicum,"Frozen, preserved or processed fruit and fruit-based products"
Canarium odontophyllum,"Frozen, preserved or processed fruit and fruit-based products"
Canarium vulgare,"Frozen, preserved or processed fruit and fruit-based products"
Canna indica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cannabis sativa,"Frozen, preserved or processed fruit and fruit-based products"
Capsicum annuum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum baccatum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum baccatum var. baccatum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum baccatum var. pendulum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum baccatum var. praetermissum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum chinense,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum frutescens,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Capsicum pubescens,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Carica papaya,Fruit
Carissa macrocarpa,Fruit
Carissa spinarum,Fruit
Carum carvi,"Frozen, preserved or processed fruit and fruit-based products"
Carya illinoinensis,"Frozen, preserved or processed fruit and fruit-based products"
Ceiba pentandra,Fruit
Centaurea cyanus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Ceratonia siliqua,Food products n.e.c. (Class)
Chaenomeles speciosa,Fruit
Chamaedorea tepejilote,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Chenopodium pallidicaule,"Other cereals, flour and other cereal products"
Chenopodium quinoa,"Other cereals, flour and other cereal products"
Chrysanthemum indicum,Food products n.e.c. (Class)
Chrysanthemum x morifolium,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Chrysophyllum cainito,Fruit
Chrysophyllum oliviforme,Fruit
Cicer arietinum,"Frozen, preserved or processed vegetables and vegetable-based products"
Cichorium intybus,Food products n.e.c. (Class)
Cinnamomum aromaticum,Food products n.e.c. (Class)
Cinnamomum verum,Food products n.e.c. (Class)
Cissus hypoglauca,Fruit
Citrullus lanatus,Fruit
Citrus aurantiifolia,Fruit
Citrus aurantium,Fruit
Citrus australasica,Fruit
Citrus australis,Fruit
Citrus garrawayi,Fruit
Citrus glauca,Fruit
Citrus hystrix,Fruit
Citrus inodora,Fruit
Citrus japonica,Fruit
Citrus japonica var. margarita,Fruit
Citrus limon,Fruit
Citrus limon var. pompia,Fruit
Citrus limonia,Fruit
Citrus maxima,Fruit
Citrus medica,Fruit
Citrus reticulata,Fruit
Citrus sinensis,Fruit
Citrus trifoliata,Fruit
Citrus wintersii,Fruit
Citrus x latifolia,Fruit
Citrus x microcarpa,Fruit
Citrus x paradisi,Fruit
Clausena lansium,Fruit
Cnidoscolus aconitifolius subsp. aconitifolius,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Coccinia grandis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Coccoloba uvifera,Fruit
Cocos nucifera,Oils and fats; Fruit
Codonopsis javanica,Food products n.e.c. (Class)
Coffea arabica,"Coffee, tea and cocoa (Class)"
Coffea canephora,"Coffee, tea and cocoa (Class)"
Coffea liberica,"Coffee, tea and cocoa (Class)"
Coffea liberica var. dewevrei,"Coffee, tea and cocoa (Class)"
Coix lacryma-jobi,"Other cereals, flour and other cereal products"
Coix lacryma-jobi var. ma-yuen,"Other cereals, flour and other cereal products"
Coleus amboinicus,Food products n.e.c. (Class)
Colocasia antiquorum,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Colocasia esculenta,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Colocasia esculenta var. antiquorum,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Colocasia esculenta var. fontanesii,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Corchorus olitorius,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cordia decandra,Fruit
Coriandrum sativum,Food products n.e.c. (Class)
Cormus domestica,Fruit
Corylus avellana,"Frozen, preserved or processed fruit and fruit-based products"
Corymbia calophylla,Food products n.e.c. (Class)
Cosmos sulphureus,Food products n.e.c. (Class)
Crescentia cujete,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucumis melo,Fruit
Cucumis melo subsp. agrestis,Fruit
Cucumis melo subsp. melo,Fruit
Cucumis melo subsp. meloides,Fruit
Cucumis metulifer,Fruit
Cucumis sativus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucumis sativus var. hardwickii,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucumis sativus var. sativus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita argyrosperma,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita argyrosperma subsp. argyrosperma,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita argyrosperma subsp. sororia,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita argyrosperma var. callicarpa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita argyrosperma var. palmeri,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita argyrosperma var. stenosperma,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita ficifolia,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita maxima,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita maxima subsp. andreana,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita moschata,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita pepo,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita pepo subsp. fraterna,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita pepo subsp. ovifera,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita pepo subsp. pepo,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cucurbita pepo var. ozarkana,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cuminum cyminum,Food products n.e.c. (Class)
Curcuma aeruginosa,Food products n.e.c. (Class)
Curcuma longa,Food products n.e.c. (Class)
Curcuma xanthorrhiza,Food products n.e.c. (Class)
Curcuma zedoaria,Food products n.e.c. (Class)
Cyamopsis tetragonoloba,"Frozen, preserved or processed fruit and fruit-based products"
Cydonia oblonga,Fruit
Cymbopogon citratus,Food products n.e.c. (Class)
Cynara cardunculus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cynara cardunculus var. scolymus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Cyrtosperma merkusii,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Dacryodes edulis,Fruit
Dacryodes rostrata,Fruit
Dahlia coccinea,Food products n.e.c. (Class)
Dahlia coccinea var. coccinea,Food products n.e.c. (Class)
Dahlia pinnata,Food products n.e.c. (Class)
Daucus carota,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Delonix regia,Food products n.e.c. (Class)
Digitaria exilis,"Other cereals, flour and other cereal products"
Dimocarpus longan,Fruit
Dioscorea alata,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Dioscorea cayenensis subsp. rotundata,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Diospyros blancoi,Fruit
Diospyros digyna,Fruit
Diospyros kaki,Fruit
Diplotaxis tenuifolia,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Dovyalis hebecarpa,Fruit
Dracontomelon dao,Fruit
Durio oxleyanus,Fruit
Durio zibethinus,Fruit
Dysphania ambrosioides,Food products n.e.c. (Class)
Echinacea purpurea,Food products n.e.c. (Class)
Echinochloa frumentacea,"Other cereals, flour and other cereal products"
Eclipta prostrata,Food products n.e.c. (Class)
Elaeis guineensis,Oils and fats; Fruit
Eleocharis dulcis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Eleusine coracana,"Other cereals, flour and other cereal products"
Eleusine coracana subsp. africana,"Other cereals, flour and other cereal products"
Eleusine coracana subsp. coracana,"Other cereals, flour and other cereal products"
Eleusine indica,"Other cereals, flour and other cereal products"
Eragrostis tef,"Other cereals, flour and other cereal products"
Eruca vesicaria,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Eruca vesicaria subsp. sativa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Eryngium foetidum,Food products n.e.c. (Class)
Erythrina variegata,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Etlingera elatior,Food products n.e.c. (Class)
Eugenia brasiliensis,Fruit
Eugenia coronata,Fruit
Eugenia stipitata,Fruit
Eugenia uniflora,Fruit
Euterpe oleracea,Fruit
Fagopyrum esculentum,"Other cereals, flour and other cereal products"
Fagopyrum esculentum subsp. ancestrale,"Other cereals, flour and other cereal products"
Ficus auriculata,Fruit
Ficus carica,Fruit
Ficus pumila,Fruit
Ficus racemosa,Fruit
Flacourtia indica,Fruit
Flacourtia jangomas,Fruit
Flacourtia rukam,Fruit
Fragaria chiloensis,Fruit
Fragaria chiloensis subsp. lucida,Fruit
Fragaria chiloensis subsp. pacifica,Fruit
Fragaria chinensis,Fruit
Fragaria corymbosa,Fruit
Fragaria daltoniana,Fruit
Fragaria gracilis,Fruit
Fragaria iinumae,Fruit
Fragaria iturupensis,Fruit
Fragaria mandshurica,Fruit
Fragaria moschata,Fruit
Fragaria moupinensis,Fruit
Fragaria nilgerrensis,Fruit
Fragaria nipponica,Fruit
Fragaria nubicola,Fruit
Fragaria orientalis,Fruit
Fragaria pentaphylla,Fruit
Fragaria sp. 301,Fruit
Fragaria sp. CFRA 538,Fruit
Fragaria tibetica,Fruit
Fragaria vesca,Fruit
Fragaria vesca f. alba,Fruit
Fragaria vesca subsp. americana,Fruit
Fragaria vesca subsp. bracteata,Fruit
Fragaria vesca subsp. vesca,Fruit
Fragaria virginiana,Fruit
Fragaria virginiana subsp. glauca,Fruit
Fragaria virginiana subsp. platypetala,Fruit
Fragaria virginiana subsp. virginiana,Fruit
Fragaria viridis,Fruit
Fragaria x ananassa,Fruit
Galium odoratum,Food products n.e.c. (Class)
Ginkgo biloba,"Frozen, preserved or processed fruit and fruit-based products"
Gliricidia sepium,Food products n.e.c. (Class)
Glycine max,"Oils and fats; Frozen, preserved or processed vegetables and vegetable-based products"
Glycyrrhiza glabra,Food products n.e.c. (Class)
Glycyrrhiza glabra x Glycyrrrhiza uralensis,Food products n.e.c. (Class)
Gurania lobata,Fruit
Gurania makoyana,Fruit
Gurania reticulata,Fruit
Gurania sp. MAG-2009,Fruit
Gurania spinulosa,Fruit
Gurania tubulosa,Fruit
